title,url,price_usd,price_vnd_text,size_m2,price_per_m2_usd,bedrooms,property_type,district,listed_text,listed_approx_date,latitude,longitude,agent,contact,description,scraped_at,source
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_4870952,96153.85,₫ 2.5 billion,144.0,667.74,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /4 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.5 billion 144 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:14.647519,dotproperty
"Land for sale in An Khe, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-an-khe-da-nang_4744857,150000.0,₫ 3.9 billion,80.0,1875.0,,Land,Thanh Khe District,,,,,,,"‹ › 1 /3 Land for sale in An Khe, Da Nang Thanh Khe District, Da Nang ₫ 3.9 billion 80 m 2 Land for sale located at An Khe, Thanh Khe District. Helen Đoàn Call",2026-09-01T09:17:14.647867,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_3035178,73076.92,₫ 1.9 billion,108.0,676.64,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /5 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.9 billion 108 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Linh Call",2026-09-01T09:17:14.648219,dotproperty
"Land for sale in Hoa Minh, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-minh-da-nang_6430542,107692.31,₫ 2.8 billion,75.0,1435.9,,Land,Lien Chieu District,,,,,,,"‹ › 1 /15 Land for sale in Hoa Minh, Da Nang Lien Chieu District, Da Nang ₫ 2.8 billion 75 m 2 Car park Panoramic view Land close to A3 Phuong Trang area; Hang Closed; Nice Location; Cheap! Land for sale on Le Van Thinh street, Sat Area A3 - Phuong Trang; Cheap!- Lot number: B27-24B (Lot Lottery Gable)- Area: 5x 15m (75 m2)- Direction: Northwest- Road: Le Van Thinh (5,5m); Parallel to the axis of Nguyen Sinh Sac- Location:+ Near gable corner lot; Spacious, cool and quiet location.+ Behind the Shophouse A3 Phuong Trang... Phước Hồ Call",2026-09-01T09:17:17.941121,dotproperty
"Land for sale in Hoa Quy, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_5006568,76923.08,₫ 2 billion,100.0,769.23,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Quy, Da Nang Ngu Hanh Son District, Da Nang ₫ 2 billion 100 m 2 Land for sale located at Hoa Quy, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:17.961552,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4729217,94230.77,₫ 2.45 billion,110.0,856.64,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.45 billion 110 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:18.032683,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_7145649,121153.85,₫ 3.15 billion,104.3,1161.59,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /5 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 3.15 billion 104.3 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:21.384568,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_5089367,100000.0,₫ 2.6 billion,144.0,694.44,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /4 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.6 billion 144 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:21.386936,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4534574,57692.31,₫ 1.5 billion,100.0,576.92,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.5 billion 100 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:24.705216,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_8960525,128846.15,₫ 3.35 billion,100.0,1288.46,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /5 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 3.35 billion 100 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Pha Nguyen Call",2026-09-01T09:17:21.388017,dotproperty
"Land for sale in Nai Hien Dong, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-nai-hien-dong-da-nang_6480706,115384.62,₫ 3 billion,72.0,1602.56,,Land,Son Tra District,,,,,,,"‹ › 1 /6 Land for sale in Nai Hien Dong, Da Nang Son Tra District, Da Nang ₫ 3 billion 72 m 2 I need to quickly sell the Land lot of Bui Huy Bich street, Nai Hien Dong, Son Tra, Da Nang city- Land area: 72m2 (4mx18m), 5m5 road, 3m edge, Southeast direction.- Opposite the park so it is very airy, near Khuc Hao route, near markets, schools at all levels, very suitable for investment, especially long-term settlement.- Selling price to notarized: 3 billionLot is clean, beautiful, cool, no stick... Phước Hồ Call",2026-09-01T09:17:24.716233,dotproperty
"Land for sale in Hoa Quy, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4749081,53846.15,₫ 1.4 billion,85.0,633.48,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Quy, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.4 billion 85 m 2 Land for sale located at Hoa Quy, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:24.816482,dotproperty
"Land for sale in Hoa Quy, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4481498,46153.85,₫ 1.2 billion,100.0,461.54,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Quy, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.2 billion 100 m 2 Land for sale located at Hoa Quy, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:24.816831,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_3054758,48076.92,₫ 1.25 billion,134.0,358.78,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.25 billion 134 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:24.817157,dotproperty
"Land for sale in Hoa Quy, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4465287,47115.38,₫ 1.225 billion,100.0,471.15,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Quy, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.225 billion 100 m 2 Land for sale located at Hoa Quy, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:24.817478,dotproperty
"Land for sale in Hoa Quy, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4734317,55769.23,₫ 1.45 billion,85.0,656.11,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /3 Land for sale in Hoa Quy, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.45 billion 85 m 2 Land for sale located at Hoa Quy, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:24.817845,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_3043673,25000.0,"₫ 650,000,000",90.0,277.78,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 650,000,000 90 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:24.818186,dotproperty
"Land for sale in Khue My, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-khue-my-da-nang_7834517,2307.69,"₫ 60,000,000",250.0,9.23,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Khue My, Da Nang Ngu Hanh Son District, Da Nang ₫ 60,000,000 250 m 2 Land for sale located at Khue My, Ngu Hanh Son District. Damian - ngtdung98 Call",2026-09-01T09:17:24.818507,dotproperty
"Land for sale in Hoa Quy, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4440003,42307.69,₫ 1.1 billion,100.0,423.08,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Quy, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.1 billion 100 m 2 Land for sale located at Hoa Quy, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:24.818844,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_5845638,53846.15,₫ 1.4 billion,100.0,538.46,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /2 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.4 billion 100 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:24.819185,dotproperty
